"AUT","Test","Category","Expected","Actual","Description","Result","Value"
"ada62","good_stringCast1.pika","expressions","Howdy, Bob! Howdy, Bob!
","","Unrecoverable compiler error or ASMEmu exception.","FAIL","0.0" FIXED
"ada62","good_stringCompare.pika","expressions","false true false
true false true
","false true false
true false true
","","PASS","0.5526315789473685"

**END EXPRESSIONS** ALL PROBLEMS FIXED


"ada62","rte_divide1.pika","expressions","Runtime error: integer divide by zero
","Runtime error: integer divide by zero
","","PASS","0.5526315789473685"
"ada62","rte_divide2.pika","expressions","Runtime error: floating divide by zero
","Runtime error: floating divide by zero
","","PASS","0.5526315789473685"
"ada62","err_charConstant1.pika","lexical","Jun 14, 2020 2:03:28 PM logging.PikaLogger log
SEVERE: Lexical error: Illegal character in character constant at (..\pika0point2\input\pika-1\lexical\err_charConstant1.pika line 2, character 15)
Jun 14, 2020 2:03:28 PM logging.PikaLogger log
SEVERE: Lexical error: Character constant does not end correctly at (..\pika0point2\input\pika-1\lexical\err_charConstant1.pika line 3, character 0)
Jun 14, 2020 2:03:28 PM logging.PikaLogger log
SEVERE: syntax error: (..\pika0point2\input\pika-1\lexical\err_charConstant1.pika line 2, character 15) expecting expression
Jun 14, 2020 2:03:28 PM logging.PikaLogger log
SEVERE: syntax error: (..\pika0point2\input\pika-1\lexical\err_charConstant1.pika line 3, character 0) expecting [TERMINATOR]
program has errors.  no executable created.
","","Unrecoverable compiler error or ASMEmu exception.","FAIL","0.0"
"ada62","err_charConstant2.pika","lexical","Jun 14, 2020 2:03:29 PM logging.PikaLogger log
SEVERE: Lexical error: Illegal character in character constant at (..\pika0point2\input\pika-1\lexical\err_charConstant2.pika line 2, character 15)
Jun 14, 2020 2:03:29 PM logging.PikaLogger log
SEVERE: Lexical error: Character constant does not end correctly at (..\pika0point2\input\pika-1\lexical\err_charConstant2.pika line 2, character 17)
Jun 14, 2020 2:03:29 PM logging.PikaLogger log
SEVERE: syntax error: (..\pika0point2\input\pika-1\lexical\err_charConstant2.pika line 2, character 15) expecting expression
Jun 14, 2020 2:03:29 PM logging.PikaLogger log
SEVERE: syntax error: (..\pika0point2\input\pika-1\lexical\err_charConstant2.pika line 2, character 17) expecting [TERMINATOR]
program has errors.  no executable created.
","","Unrecoverable compiler error or ASMEmu exception.","FAIL","0.0"
"ada62","err_charConstant3.pika","lexical","Jun 14, 2020 2:03:29 PM logging.PikaLogger log
SEVERE: Lexical error: Character constant does not end correctly at (..\pika0point2\input\pika-1\lexical\err_charConstant3.pika line 2, character 15)
Jun 14, 2020 2:03:29 PM logging.PikaLogger log
SEVERE: syntax error: (..\pika0point2\input\pika-1\lexical\err_charConstant3.pika line 2, character 15) expecting expression
Jun 14, 2020 2:03:29 PM logging.PikaLogger log
SEVERE: Lexical error: Character constant does not end correctly at (..\pika0point2\input\pika-1\lexical\err_charConstant3.pika line 2, character 19)
Jun 14, 2020 2:03:29 PM logging.PikaLogger log
SEVERE: syntax error: (..\pika0point2\input\pika-1\lexical\err_charConstant3.pika line 2, character 18) expecting [TERMINATOR]
Jun 14, 2020 2:03:29 PM logging.PikaLogger log
SEVERE: syntax error: (..\pika0point2\input\pika-1\lexical\err_charConstant3.pika line 2, character 19) expecting [CLOSE_BRACE]
Jun 14, 2020 2:03:29 PM logging.PikaLogger log
SEVERE: syntax error: (..\pika0point2\input\pika-1\lexical\err_charConstant3.pika line 3, character 4) expecting end of program
program has errors.  no executable created.
","","Unrecoverable compiler error or ASMEmu exception.","FAIL","0.0"
"ada62","err_charConstant4.pika","lexical","Jun 14, 2020 2:03:30 PM logging.PikaLogger log
SEVERE: Lexical error: Illegal character in character constant at (..\pika0point2\input\pika-1\lexical\err_charConstant4.pika line 2, character 15)
Jun 14, 2020 2:03:30 PM logging.PikaLogger log
SEVERE: Lexical error: Character constant does not end correctly at (..\pika0point2\input\pika-1\lexical\err_charConstant4.pika line 2, character 17)
Jun 14, 2020 2:03:30 PM logging.PikaLogger log
SEVERE: syntax error: (..\pika0point2\input\pika-1\lexical\err_charConstant4.pika line 2, character 15) expecting expression
Jun 14, 2020 2:03:30 PM logging.PikaLogger log
SEVERE: syntax error: (..\pika0point2\input\pika-1\lexical\err_charConstant4.pika line 2, character 17) expecting [TERMINATOR]
program has errors.  no executable created.
","","Unrecoverable compiler error or ASMEmu exception.","FAIL","0.0"
"ada62","err_charConstant5.pika","lexical","Jun 14, 2020 2:03:30 PM logging.PikaLogger log
SEVERE: Lexical error: Character constant does not end correctly at (..\pika0point2\input\pika-1\lexical\err_charConstant5.pika line 2, character 15)
Jun 14, 2020 2:03:30 PM logging.PikaLogger log
SEVERE: Lexical error: Character constant does not end correctly at (..\pika0point2\input\pika-1\lexical\err_charConstant5.pika line 2, character 18)
Jun 14, 2020 2:03:30 PM logging.PikaLogger log
SEVERE: syntax error: (..\pika0point2\input\pika-1\lexical\err_charConstant5.pika line 2, character 15) expecting expression
Jun 14, 2020 2:03:30 PM logging.PikaLogger log
SEVERE: syntax error: (..\pika0point2\input\pika-1\lexical\err_charConstant5.pika line 2, character 18) expecting [TERMINATOR]
program has errors.  no executable created.
","","Unrecoverable compiler error or ASMEmu exception.","FAIL","0.0"
"ada62","err_charConstant6.pika","lexical","Jun 14, 2020 2:03:31 PM logging.PikaLogger log
SEVERE: Lexical error: Character constant does not end correctly at (..\pika0point2\input\pika-1\lexical\err_charConstant6.pika line 2, character 15)
Jun 14, 2020 2:03:31 PM logging.PikaLogger log
SEVERE: Lexical error: Character constant does not end correctly at (..\pika0point2\input\pika-1\lexical\err_charConstant6.pika line 2, character 18)
Jun 14, 2020 2:03:31 PM logging.PikaLogger log
SEVERE: syntax error: (..\pika0point2\input\pika-1\lexical\err_charConstant6.pika line 2, character 15) expecting expression
Jun 14, 2020 2:03:31 PM logging.PikaLogger log
SEVERE: syntax error: (..\pika0point2\input\pika-1\lexical\err_charConstant6.pika line 2, character 18) expecting [TERMINATOR]
program has errors.  no executable created.
","","Unrecoverable compiler error or ASMEmu exception.","FAIL","0.0"
"ada62","err_floatConstant1.pika","lexical","Jun 14, 2020 2:03:31 PM logging.PikaLogger log
SEVERE: syntax error: (..\pika0point2\input\pika-1\lexical\err_floatConstant1.pika line 2, character 14) expecting [CLOSE_BRACE]
Jun 14, 2020 2:03:31 PM logging.PikaLogger log
SEVERE: syntax error: (..\pika0point2\input\pika-1\lexical\err_floatConstant1.pika line 3, character 0) expecting end of program
program has errors.  no executable created.
","Jun 14, 2020 2:16:28 PM logging.PikaLogger log
SEVERE: syntax error: (..\pika0point2\input\pika-1\lexical\err_floatConstant1.pika line 2, character 14) expecting [CLOSE_BRACE]
Jun 14, 2020 2:16:28 PM logging.PikaLogger log
SEVERE: syntax error: (..\pika0point2\input\pika-1\lexical\err_floatConstant1.pika line 3, character 0) expecting end of program
program has errors.  no executable created.
","","PASS","0.5681818181818182"
"ada62","err_floatConstant2.pika","lexical","Jun 14, 2020 2:03:32 PM logging.PikaLogger log
SEVERE: Lexical error: malformed floating constant 1.7E at (..\pika0point2\input\pika-1\lexical\err_floatConstant2.pika line 2, character 12)
program has errors.  no executable created.
","","Unrecoverable compiler error or ASMEmu exception.","FAIL","0.0"
"ada62","err_floatConstant3.pika","lexical","Jun 14, 2020 2:03:32 PM logging.PikaLogger log
SEVERE: Lexical error: malformed floating constant -1.1E- at (..\pika0point2\input\pika-1\lexical\err_floatConstant3.pika line 2, character 12)
program has errors.  no executable created.
","","Unrecoverable compiler error or ASMEmu exception.","FAIL","0.0"
"ada62","err_floatConstant4.pika","lexical","Jun 14, 2020 2:03:32 PM logging.PikaLogger log
SEVERE: syntax error: (..\pika0point2\input\pika-1\lexical\err_floatConstant4.pika line 11, character 13) expecting [TERMINATOR]
Jun 14, 2020 2:03:32 PM logging.PikaLogger log
SEVERE: syntax error: (..\pika0point2\input\pika-1\lexical\err_floatConstant4.pika line 11, character 15) expecting [CLOSE_BRACE]
Jun 14, 2020 2:03:32 PM logging.PikaLogger log
SEVERE: syntax error: (..\pika0point2\input\pika-1\lexical\err_floatConstant4.pika line 12, character 1) expecting end of program
program has errors.  no executable created.
","Jun 14, 2020 2:16:29 PM logging.PikaLogger log
SEVERE: syntax error: (..\pika0point2\input\pika-1\lexical\err_floatConstant4.pika line 11, character 13) expecting [TERMINATOR]
Jun 14, 2020 2:16:29 PM logging.PikaLogger log
SEVERE: syntax error: (..\pika0point2\input\pika-1\lexical\err_floatConstant4.pika line 11, character 15) expecting [CLOSE_BRACE]
Jun 14, 2020 2:16:29 PM logging.PikaLogger log
SEVERE: syntax error: (..\pika0point2\input\pika-1\lexical\err_floatConstant4.pika line 12, character 1) expecting end of program
program has errors.  no executable created.
","","PASS","0.5681818181818182"
"ada62","err_identifier1.pika","lexical","Jun 14, 2020 2:03:33 PM logging.PikaLogger log
SEVERE: Lexical error: identifier 'a23456789012345678901234567890123' too long (max 32 characters) at (..\pika0point2\input\pika-1\lexical\err_identifier1.pika line 2, character 10)
Jun 14, 2020 2:03:33 PM logging.PikaLogger log
SEVERE: Lexical error: identifier 'a23456789012345678901234567890123' too long (max 32 characters) at (..\pika0point2\input\pika-1\lexical\err_identifier1.pika line 3, character 10)
program has errors.  no executable created.
","Jun 14, 2020 2:16:30 PM logging.PikaLogger log
SEVERE: Lexical error: identifer exceeded 32 character limit (a, (..\pika0point2\input\pika-1\lexical\err_identifier1.pika line 2, character 10))
Jun 14, 2020 2:16:30 PM logging.PikaLogger log
SEVERE: Lexical error: identifer exceeded 32 character limit (a, (..\pika0point2\input\pika-1\lexical\err_identifier1.pika line 3, character 10))
program has errors.  no executable created.
","","PASS","0.5681818181818182"
"ada62","err_identifier2.pika","lexical","Jun 14, 2020 2:03:33 PM logging.PikaLogger log
SEVERE: Lexical error: invalid character (~, (..\pika0point2\input\pika-1\lexical\err_identifier2.pika line 2, character 10)) at (..\pika0point2\input\pika-1\lexical\err_identifier2.pika line 2, character 10)
Jun 14, 2020 2:03:33 PM logging.PikaLogger log
SEVERE: Lexical error: invalid character (~, (..\pika0point2\input\pika-1\lexical\err_identifier2.pika line 3, character 10)) at (..\pika0point2\input\pika-1\lexical\err_identifier2.pika line 3, character 10)
program has errors.  no executable created.
","Jun 14, 2020 2:16:30 PM logging.PikaLogger log
SEVERE: Lexical error: invalid character (~, (..\pika0point2\input\pika-1\lexical\err_identifier2.pika line 2, character 10))
Jun 14, 2020 2:16:30 PM logging.PikaLogger log
SEVERE: Lexical error: invalid character (~, (..\pika0point2\input\pika-1\lexical\err_identifier2.pika line 3, character 10))
program has errors.  no executable created.
","","PASS","0.5681818181818182"
"ada62","err_identifier3.pika","lexical","Jun 14, 2020 2:03:34 PM logging.PikaLogger log
SEVERE: syntax error: (..\pika0point2\input\pika-1\lexical\err_identifier3.pika line 2, character 10) expecting identifier
Jun 14, 2020 2:03:34 PM logging.PikaLogger log
SEVERE: syntax error: (..\pika0point2\input\pika-1\lexical\err_identifier3.pika line 2, character 11) expecting [ASSIGN]
Jun 14, 2020 2:03:34 PM logging.PikaLogger log
SEVERE: syntax error: (..\pika0point2\input\pika-1\lexical\err_identifier3.pika line 2, character 15) expecting expression
Jun 14, 2020 2:03:34 PM logging.PikaLogger log
SEVERE: syntax error: (..\pika0point2\input\pika-1\lexical\err_identifier3.pika line 2, character 18) expecting [TERMINATOR]
Jun 14, 2020 2:03:34 PM logging.PikaLogger log
SEVERE: syntax error: (..\pika0point2\input\pika-1\lexical\err_identifier3.pika line 2, character 20) expecting [CLOSE_BRACE]
Jun 14, 2020 2:03:34 PM logging.PikaLogger log
SEVERE: syntax error: (..\pika0point2\input\pika-1\lexical\err_identifier3.pika line 3, character 4) expecting end of program
program has errors.  no executable created.
","Jun 14, 2020 2:16:30 PM logging.PikaLogger log
SEVERE: syntax error: (..\pika0point2\input\pika-1\lexical\err_identifier3.pika line 2, character 10) expecting identifier
Jun 14, 2020 2:16:30 PM logging.PikaLogger log
SEVERE: syntax error: (..\pika0point2\input\pika-1\lexical\err_identifier3.pika line 2, character 11) expecting [ASSIGN]
Jun 14, 2020 2:16:30 PM logging.PikaLogger log
SEVERE: syntax error: (..\pika0point2\input\pika-1\lexical\err_identifier3.pika line 2, character 15) expecting expression
Jun 14, 2020 2:16:30 PM logging.PikaLogger log
SEVERE: syntax error: (..\pika0point2\input\pika-1\lexical\err_identifier3.pika line 2, character 18) expecting [TERMINATOR]
Jun 14, 2020 2:16:30 PM logging.PikaLogger log
SEVERE: syntax error: (..\pika0point2\input\pika-1\lexical\err_identifier3.pika line 2, character 20) expecting [CLOSE_BRACE]
Jun 14, 2020 2:16:30 PM logging.PikaLogger log
SEVERE: syntax error: (..\pika0point2\input\pika-1\lexical\err_identifier3.pika line 3, character 4) expecting end of program
program has errors.  no executable created.
","","PASS","0.5681818181818182"
"ada62","err_intConst1.pika","lexical","Jun 14, 2020 2:03:34 PM logging.PikaLogger log
SEVERE: syntax error: (..\pika0point2\input\pika-1\lexical\err_intConst1.pika line 2, character 19) expecting expression
Jun 14, 2020 2:03:34 PM logging.PikaLogger log
SEVERE: syntax error: (..\pika0point2\input\pika-1\lexical\err_intConst1.pika line 2, character 21) expecting [TERMINATOR]
Jun 14, 2020 2:03:34 PM logging.PikaLogger log
SEVERE: syntax error: (..\pika0point2\input\pika-1\lexical\err_intConst1.pika line 2, character 24) expecting [CLOSE_BRACE]
Jun 14, 2020 2:03:34 PM logging.PikaLogger log
SEVERE: syntax error: (..\pika0point2\input\pika-1\lexical\err_intConst1.pika line 4, character 1) expecting end of program
program has errors.  no executable created.
","Jun 14, 2020 2:16:31 PM logging.PikaLogger log
SEVERE: syntax error: (..\pika0point2\input\pika-1\lexical\err_intConst1.pika line 2, character 19) expecting expression
Jun 14, 2020 2:16:31 PM logging.PikaLogger log
SEVERE: syntax error: (..\pika0point2\input\pika-1\lexical\err_intConst1.pika line 2, character 21) expecting [TERMINATOR]
Jun 14, 2020 2:16:31 PM logging.PikaLogger log
SEVERE: syntax error: (..\pika0point2\input\pika-1\lexical\err_intConst1.pika line 2, character 24) expecting [CLOSE_BRACE]
Jun 14, 2020 2:16:31 PM logging.PikaLogger log
SEVERE: syntax error: (..\pika0point2\input\pika-1\lexical\err_intConst1.pika line 4, character 1) expecting end of program
program has errors.  no executable created.
","","PASS","0.5681818181818182"
"ada62","err_intConst2.pika","lexical","Jun 14, 2020 2:03:34 PM logging.PikaLogger log
SEVERE: syntax error: (..\pika0point2\input\pika-1\lexical\err_intConst2.pika line 2, character 19) expecting expression
Jun 14, 2020 2:03:34 PM logging.PikaLogger log
SEVERE: syntax error: (..\pika0point2\input\pika-1\lexical\err_intConst2.pika line 2, character 21) expecting [TERMINATOR]
Jun 14, 2020 2:03:34 PM logging.PikaLogger log
SEVERE: syntax error: (..\pika0point2\input\pika-1\lexical\err_intConst2.pika line 2, character 24) expecting [CLOSE_BRACE]
Jun 14, 2020 2:03:34 PM logging.PikaLogger log
SEVERE: syntax error: (..\pika0point2\input\pika-1\lexical\err_intConst2.pika line 4, character 1) expecting end of program
program has errors.  no executable created.
","Jun 14, 2020 2:16:31 PM logging.PikaLogger log
SEVERE: syntax error: (..\pika0point2\input\pika-1\lexical\err_intConst2.pika line 2, character 19) expecting expression
Jun 14, 2020 2:16:31 PM logging.PikaLogger log
SEVERE: syntax error: (..\pika0point2\input\pika-1\lexical\err_intConst2.pika line 2, character 21) expecting [TERMINATOR]
Jun 14, 2020 2:16:31 PM logging.PikaLogger log
SEVERE: syntax error: (..\pika0point2\input\pika-1\lexical\err_intConst2.pika line 2, character 24) expecting [CLOSE_BRACE]
Jun 14, 2020 2:16:31 PM logging.PikaLogger log
SEVERE: syntax error: (..\pika0point2\input\pika-1\lexical\err_intConst2.pika line 4, character 1) expecting end of program
program has errors.  no executable created.
","","PASS","0.5681818181818182"
"ada62","err_negativeIntegers1.pika","lexical","Jun 14, 2020 2:03:35 PM logging.PikaLogger log
SEVERE: syntax error: (..\pika0point2\input\pika-1\lexical\err_negativeIntegers1.pika line 2, character 17) expecting expression
Jun 14, 2020 2:03:35 PM logging.PikaLogger log
SEVERE: syntax error: (..\pika0point2\input\pika-1\lexical\err_negativeIntegers1.pika line 2, character 19) expecting [TERMINATOR]
Jun 14, 2020 2:03:35 PM logging.PikaLogger log
SEVERE: syntax error: (..\pika0point2\input\pika-1\lexical\err_negativeIntegers1.pika line 2, character 21) expecting [CLOSE_BRACE]
Jun 14, 2020 2:03:35 PM logging.PikaLogger log
SEVERE: syntax error: (..\pika0point2\input\pika-1\lexical\err_negativeIntegers1.pika line 3, character 4) expecting end of program
program has errors.  no executable created.
","Jun 14, 2020 2:16:31 PM logging.PikaLogger log
SEVERE: syntax error: (..\pika0point2\input\pika-1\lexical\err_negativeIntegers1.pika line 2, character 17) expecting expression
Jun 14, 2020 2:16:32 PM logging.PikaLogger log
SEVERE: syntax error: (..\pika0point2\input\pika-1\lexical\err_negativeIntegers1.pika line 2, character 19) expecting [TERMINATOR]
Jun 14, 2020 2:16:32 PM logging.PikaLogger log
SEVERE: syntax error: (..\pika0point2\input\pika-1\lexical\err_negativeIntegers1.pika line 2, character 21) expecting [CLOSE_BRACE]
Jun 14, 2020 2:16:32 PM logging.PikaLogger log
SEVERE: syntax error: (..\pika0point2\input\pika-1\lexical\err_negativeIntegers1.pika line 3, character 4) expecting end of program
program has errors.  no executable created.
","","PASS","0.5681818181818182"
"ada62","err_negativeIntegers2.pika","lexical","Jun 14, 2020 2:03:35 PM logging.PikaLogger log
SEVERE: syntax error: (..\pika0point2\input\pika-1\lexical\err_negativeIntegers2.pika line 2, character 18) expecting expression
Jun 14, 2020 2:03:35 PM logging.PikaLogger log
SEVERE: syntax error: (..\pika0point2\input\pika-1\lexical\err_negativeIntegers2.pika line 2, character 20) expecting [TERMINATOR]
Jun 14, 2020 2:03:35 PM logging.PikaLogger log
SEVERE: syntax error: (..\pika0point2\input\pika-1\lexical\err_negativeIntegers2.pika line 2, character 22) expecting [CLOSE_BRACE]
Jun 14, 2020 2:03:35 PM logging.PikaLogger log
SEVERE: syntax error: (..\pika0point2\input\pika-1\lexical\err_negativeIntegers2.pika line 3, character 4) expecting end of program
program has errors.  no executable created.
","Jun 14, 2020 2:16:32 PM logging.PikaLogger log
SEVERE: syntax error: (..\pika0point2\input\pika-1\lexical\err_negativeIntegers2.pika line 2, character 18) expecting expression
Jun 14, 2020 2:16:32 PM logging.PikaLogger log
SEVERE: syntax error: (..\pika0point2\input\pika-1\lexical\err_negativeIntegers2.pika line 2, character 20) expecting [TERMINATOR]
Jun 14, 2020 2:16:32 PM logging.PikaLogger log
SEVERE: syntax error: (..\pika0point2\input\pika-1\lexical\err_negativeIntegers2.pika line 2, character 22) expecting [CLOSE_BRACE]
Jun 14, 2020 2:16:32 PM logging.PikaLogger log
SEVERE: syntax error: (..\pika0point2\input\pika-1\lexical\err_negativeIntegers2.pika line 3, character 4) expecting end of program
program has errors.  no executable created.
","","PASS","0.5681818181818182"
"ada62","err_negativeIntegers3.pika","lexical","Jun 14, 2020 2:03:36 PM logging.PikaLogger log
SEVERE: syntax error: (..\pika0point2\input\pika-1\lexical\err_negativeIntegers3.pika line 2, character 21) expecting [TERMINATOR]
Jun 14, 2020 2:03:36 PM logging.PikaLogger log
SEVERE: syntax error: (..\pika0point2\input\pika-1\lexical\err_negativeIntegers3.pika line 2, character 24) expecting [CLOSE_BRACE]
Jun 14, 2020 2:03:36 PM logging.PikaLogger log
SEVERE: syntax error: (..\pika0point2\input\pika-1\lexical\err_negativeIntegers3.pika line 3, character 4) expecting end of program
program has errors.  no executable created.
","Jun 14, 2020 2:16:32 PM logging.PikaLogger log
SEVERE: syntax error: (..\pika0point2\input\pika-1\lexical\err_negativeIntegers3.pika line 2, character 21) expecting [TERMINATOR]
Jun 14, 2020 2:16:32 PM logging.PikaLogger log
SEVERE: syntax error: (..\pika0point2\input\pika-1\lexical\err_negativeIntegers3.pika line 2, character 24) expecting [CLOSE_BRACE]
Jun 14, 2020 2:16:32 PM logging.PikaLogger log
SEVERE: syntax error: (..\pika0point2\input\pika-1\lexical\err_negativeIntegers3.pika line 3, character 4) expecting end of program
program has errors.  no executable created.
","","PASS","0.5681818181818182"
"ada62","err_stringConstant1.pika","lexical","Jun 14, 2020 2:03:36 PM logging.PikaLogger log
SEVERE: Lexical error: newline found inside string constant at (..\pika0point2\input\pika-1\lexical\err_stringConstant1.pika line 2, character 19)
program has errors.  no executable created.
","","Unrecoverable compiler error or ASMEmu exception.","FAIL","0.0"
"ada62","good_charConstant1.pika","lexical","","","","PASS","0.5681818181818182"
"ada62","good_charConstant2.pika","lexical","^
","^
","","PASS","0.5681818181818182"
"ada62","good_charPrint1.pika","lexical","!! $8
","!! $8
","","PASS","0.5681818181818182"
"ada62","good_comment1.pika","lexical","207
32
false 
","207
32
false 
","","PASS","0.5681818181818182"
"ada62","good_comment2.pika","lexical","207
32
false 
","207
32
false 
","","PASS","0.5681818181818182"
"ada62","good_comment3.pika","lexical","207
32
false 
","207
32
false 
","","PASS","0.5681818181818182"
"ada62","good_comment4.pika","lexical","207
32
false 
","207
32
false 
","","PASS","0.5681818181818182"
"ada62","good_comment5.pika","lexical","207
32
false 
","207
32
false 
","","PASS","0.5681818181818182"
"ada62","good_floatConstant1.pika","lexical","","","","PASS","0.5681818181818182"
"ada62","good_floatConstant2.pika","lexical","","","","PASS","0.5681818181818182"
"ada62","good_floatConstant3.pika","lexical","","","","PASS","0.5681818181818182"
"ada62","good_floatConstant4.pika","lexical","","","","PASS","0.5681818181818182"
"ada62","good_identifiers1.pika","lexical","10 11 12 13 14
","10 11 12 13 14
","","PASS","0.5681818181818182"
"ada62","good_identifiers2.pika","lexical","10 11 12 13 14
","10 11 12 13 14
","","PASS","0.5681818181818182"
"ada62","good_identifiers3.pika","lexical","10 11 12 13 14
","10 11 12 13 14
","","PASS","0.5681818181818182"
"ada62","good_identifiers4.pika","lexical","10 11 12 13 14
","10 11 12 13 14
","","PASS","0.5681818181818182"
"ada62","good_identifiers5.pika","lexical","10 11 12 13 14
","10 11 12 13 14
","","PASS","0.5681818181818182"
"ada62","good_intConst1.pika","lexical","5
","5
","","PASS","0.5681818181818182"
"ada62","good_intConst2.pika","lexical","265
","265
","","PASS","0.5681818181818182"
"ada62","good_intConst3.pika","lexical","38
","38
","","PASS","0.5681818181818182"
"ada62","good_intConst4.pika","lexical","-265
","-265
","","PASS","0.5681818181818182"
"ada62","good_intConst5.pika","lexical","265
","265
","","PASS","0.5681818181818182"
"ada62","good_negativeIntegers.pika","lexical","-20 -20 -20 -20 -20
","","Unrecoverable compiler error or ASMEmu exception.","FAIL","0.0" FIXED
